opis_id,name,address,city,state,latitude,longitude,price_mean,price_min,price_max,price_sample_count
7629,ARNOLDS TRUCK STOP,US-72/SR-20/SR-157 & CR-59,Tuscumbia,AL,34.718502,-87.702586,3.169000,3.169000,3.169000,1
7635,TA MONTGOMERY TRAVEL CENTER,"I-65, EXIT 168 & US-80/US-82/SR-6/SR-8",Montgomery,AL,32.348503,-86.267307,3.252333,3.252333,3.252333,1
7636,PILOT TRAVEL CENTERS #76,"I-20 & I-59, EXIT 76",Tuscaloosa,AL,33.234404,-87.528300,3.049000,2.999000,3.099000,2
7655,LOVES TRAVEL STOP #253,I-40 EXIT 7 & SR 30,Erick,OK,35.215604,-99.868683,3.205667,3.205667,3.205667,1
7705,FLYING J TRAVEL PLAZA #610,"I-40, EXIT 53",Kingman,AZ,35.216992,-114.010529,3.882333,3.882333,3.882333,1
7708,PILOT TRAVEL CENTERS #352,"I-75, EXIT 139",Fort Myers,FL,26.620074,-81.829547,3.799000,3.799000,3.799000,2
7715,LONDON AUTO TRUCK CENTER,"I-75, EXIT 41 & SR-80",London,KY,37.109952,-84.081679,3.399000,3.399000,3.399000,1
7718,MR FUEL #717,"I-44, EXIT 251",Villa Ridge,MO,38.465699,-90.882348,3.015667,3.015667,3.015667,1
7719,FLYING J TRAVEL PLAZA #674,"I-70, EXIT 188",Warrenton,MO,38.819056,-91.137933,3.115667,3.115667,3.115667,1
7721,TRAIL STAR TRUCK STOP,"ST 16, EXIT 213",Glendive,MT,47.106473,-104.710856,3.459000,3.459000,3.459000,1
7722,SAPP BROS TRAVEL CENTER,"I-80, EXIT 353 & US-81",York,NE,40.870379,-97.592745,3.324000,3.324000,3.324000,1
7724,FUEL MART #767,US-6 & US-23,Bradner,OH,41.323884,-83.436366,3.407333,3.407333,3.407333,1
7725,BELL STORES #48,US-30 & SR-94,Dalton,OH,40.799562,-81.703719,3.385667,3.385667,3.385667,1
7733,FLYING J TRAVEL PLAZA #723,"I-40, EXIT 76",Amarillo,TX,35.198064,-101.833107,3.265667,3.265667,3.265667,1
7746,PILOT TRAVEL CENTER #888,"I-27, EXIT 74",Tulia,TX,34.537864,-101.774434,3.340667,3.340667,3.340667,1
7753,LOVES TRAVEL STOP #166,SR-351,Muskogee,OK,35.743797,-95.356405,3.337333,3.337333,3.337333,1
7767,FLYING J TRAVEL PLAZA #759,"I-25, EXIT 7",Cheyenne,WY,41.127270,-104.790220,3.709000,3.709000,3.709000,1
