name,state,latitude,longitude,area_sqmi,tier
DELTA JUNCTION,AK,64.057347,-145.699997,13.8790,3
DELTANA,AK,63.789340,-145.351625,568.1760,3
DEMENTI HISTORICAL,AK,63.033333,-158.766667,0.0000,-1
DENALI,AK,63.178611,-147.466111,0.0000,-1
DENALI CENSUS SUBAREA,AK,63.682039,-150.027016,12641.0490,1
DENALI PARK,AK,63.573017,-148.673705,176.2960,3
DENNIS MANOR,AK,64.829167,-147.539722,0.0000,-1
DENVER HISTORICAL,AK,59.500833,-135.228333,0.0000,-1
DEWEYVILLE HISTORICAL,AK,55.958889,-133.243333,0.0000,-1
DIAMOND HISTORICAL,AK,63.886667,-150.903056,0.0000,-1
DIAMOND RIDGE,AK,59.702361,-151.554623,42.3980,3
DIFJAKAMIUT,AK,59.850556,-166.277500,0.0000,-1
DILLINGHAM,AK,59.060467,-158.532251,33.3410,3
DILLINGHAM CENSUS SUBAREA,AK,59.543326,-158.267123,18333.9940,1
DIME LANDING,AK,65.120000,-161.159722,0.0000,-1
DIOMEDE,AK,65.753924,-168.922577,2.4320,3
DISCOVERY,AK,62.452500,-157.933889,0.0000,-1
DISCOVERY HISTORICAL,AK,64.533333,-165.400000,0.0000,-1
DISHKAKAT HISTORICAL,AK,63.633056,-157.476667,0.0000,-1
DOBSON LANDING,AK,58.490556,-134.784167,0.0000,-1
DOGFISH VILLAGE,AK,61.903611,-161.070000,0.0000,-1
DOGPATCH,AK,64.895556,-147.806389,0.0000,-1
DOLOMI HISTORICAL,AK,55.133611,-132.050556,0.0000,-1
DOME CAMP HISTORICAL,AK,65.033056,-147.612778,0.0000,-1
DOME CREEK HISTORICAL,AK,64.390556,-141.255000,0.0000,-1
DONNELLY,AK,63.673611,-145.883333,0.0000,-1
DORA BAY,AK,55.188889,-132.295278,0.0000,-1
DOT LAKE,AK,63.587223,-144.292361,294.9840,3
DOT LAKE VILLAGE,AK,63.662593,-144.016171,4.3760,3
DOUGLAS,AK,58.275556,-134.392500,0.0000,-1
DOYHOF,AK,56.786111,-132.975556,0.0000,-1
DRIFT RIVER,AK,60.591667,-152.161111,0.0000,-1
DRY CREEK,AK,63.626638,-144.639194,140.1720,3
DUCK VILLAGE,AK,58.108333,-152.550000,0.0000,-1
